#,word,pos_tag
0,aa,NN
1,aaa,NN
2,aah,NN
3,aahed,VBN
4,aahing,VBG
5,aahs,NN
6,aal,NN
7,aalii,NN
8,aaliis,NN
9,aals,NNS
10,aam,NN
11,aani,NN
12,aardvark,NN
13,aardvarks,NNS
14,aardwolf,NN
15,aardwolves,NNS
16,aargh,NN
17,aaron,NN
18,aaronic,NN
19,aaronical,JJ
20,aaronite,NN
21,aaronitic,JJ
22,aarrgh,NN
23,aarrghh,NN
24,aaru,NN
25,aas,NN
26,aasvogel,NN
27,aasvogels,NNS
28,ab,NN
29,aba,NN
30,ababdeh,NN
31,ababua,NN
32,abac,NN
33,abaca,NN
34,abacay,NN
35,abacas,NN
36,abacate,NN
37,abacaxi,NN
38,abaci,NN
39,abacinate,NN
40,abacination,NN
41,abacisci,NN
42,abaciscus,NN
43,abacist,NN
44,aback,NN
45,abacli,NN
46,abacot,NN
47,abacterial,JJ
48,abactinal,JJ
49,abactinally,RB
50,abaction,NN
51,abactor,NN
52,abaculi,NN
53,abaculus,NN
54,abacus,NN
55,abacuses,NNS
56,abada,NN
57,abaddon,NN
58,abadejo,NN
59,abadengo,NN
60,abadia,NN
61,abadite,NN
62,abaff,NN
63,abaft,NN
64,abay,NN
65,abayah,NN
66,abaisance,NN
67,abaised,VBN
68,abaiser,NN
69,abaisse,NN
70,abaissed,VBN
71,abaka,NN
72,abakas,NN
73,abalation,NN
74,abalienate,NN
75,abalienated,VBN
76,abalienating,VBG
77,abalienation,NN
78,abalone,NN
79,abalones,NNS
80,abama,NN
81,abamp,NN
82,abampere,RB
83,abamperes,NNS
84,abamps,NNS
85,aband,NN
86,abandon,NN
87,abandonable,JJ
88,abandoned,VBN
89,abandonedly,RB
90,abandonee,NN
91,abandoner,NN
92,abandoners,NNS
93,abandoning,VBG
94,abandonment,NN
95,abandonments,NNS
96,abandons,NNS
97,abandum,NN
98,abanet,NN
99,abanga,NN
100,abanic,NN
101,abannition,NN
102,abantes,NNS
103,abapical,JJ
104,abaptiston,NN
105,abaptistum,NN
106,abarambo,NN
107,abaris,NN
108,abarthrosis,NN
109,abarticular,NN
110,abarticulation,NN
111,abas,NN
112,abase,NN
113,abased,VBN
114,abasedly,RB
115,abasedness,NN
116,abasement,NN
117,abasements,NNS
118,abaser,NN
119,abasers,NNS
120,abases,NNS
121,abasgi,NN
122,abash,NN
123,abashed,VBN
124,abashedly,RB
125,abashedness,NN
126,abashes,NNS
127,abashing,VBG
128,abashless,NN
129,abashlessly,RB
130,abashment,NN
131,abashments,NNS
132,abasia,NN
133,abasias,NNS
134,abasic,JJ
135,abasing,VBG
136,abasio,NN
137,abask,NN
138,abassi,NN
139,abassin,NN
140,abastard,NN
141,abastardize,VB
142,abastral,JJ
143,abatable,JJ
144,abatage,NN
145,abate,NN
146,abated,VBN
147,abatement,NN
148,abatements,NNS
149,abater,NN
150,abaters,NNS
151,abates,NNS
152,abatic,JJ
153,abating,VBG
154,abatis,NN
155,abatised,VBN
156,abatises,NNS
157,abatjour,NN
158,abatjours,NNS
159,abaton,NN
160,abator,NN
161,abators,NNS
162,abattage,NN
163,abattis,NN
164,abattised,VBN
165,abattises,NNS
166,abattoir,NN
167,abattoirs,NNS
168,abattu,NN
169,abattue,NN
170,abatua,NN
171,abature,NN
172,abaue,NN
173,abave,NN
174,abaxial,JJ
175,abaxile,NN
176,abaze,NN
177,abb,NN
178,abba,NN
179,abbacy,NN
180,abbacies,NNS
181,abbacomes,NNS
182,abbadide,NN
183,abbaye,NN
184,abbandono,NN
185,abbas,NN
186,abbasi,NN
187,abbasid,NN
188,abbassi,NN
189,abbasside,NN
190,abbate,NN
191,abbatial,JJ
192,abbatical,JJ
193,abbatie,NN
194,abbe,NN
195,abbey,NN
196,abbeys,NNS
197,abbeystead,NN
198,abbeystede,NN
199,abbes,NNS
200,abbess,NN
201,abbesses,NNS
202,abbest,NN
203,abbevillian,JJ
204,abby,NN
205,abbie,NN
206,abboccato,NN
207,abbogada,NN
208,abbot,NN
209,abbotcy,NN
210,abbotcies,NNS
211,abbotnullius,NN
212,abbotric,NN
213,abbots,NNS
214,abbotship,NN
215,abbotships,NNS
216,abbott,NN
217,abbozzo,NN
218,abbr,NN
219,abbrev,NN
220,abbreviatable,JJ
221,abbreviate,NN
222,abbreviated,VBN
223,abbreviately,RB
224,abbreviates,NNS
225,abbreviating,VBG
226,abbreviation,NN
227,abbreviations,NNS
228,abbreviator,NN
229,abbreviatory,NN
230,abbreviators,NNS
231,abbreviature,NN
232,abbroachment,NN
233,abc,NN
234,abcess,NN
235,abcissa,NN
236,abcoulomb,NN
237,abd,NN
238,abdal,NN
239,abdali,NN
240,abdaria,NNS
241,abdat,NN
242,abderian,JJ
243,abderite,NN
244,abdest,NN
245,abdicable,JJ
246,abdicant,NN
247,abdicate,NN
248,abdicated,VBN
249,abdicates,NNS
250,abdicating,VBG
251,abdication,NN
252,abdications,NNS
253,abdicative,JJ
254,abdicator,NN
255,abdiel,NN
256,abditive,JJ
257,abditory,NN
258,abdom,NN
259,abdomen,NNS
260,abdomens,NNS
261,abdomina,NN
262,abdominal,JJ
263,abdominales,NNS
264,abdominalia,NNS
265,abdominalian,JJ
266,abdominally,RB
267,abdominals,NNS
268,abdominoanterior,NN
269,abdominocardiac,NN
270,abdominocentesis,NN
271,abdominocystic,JJ
272,abdominogenital,NN
273,abdominohysterectomy,NN
274,abdominohysterotomy,NN
275,abdominoposterior,NN
276,abdominoscope,NN
277,abdominoscopy,NN
278,abdominothoracic,NN
279,abdominous,JJ
280,abdominovaginal,JJ
281,abdominovesical,JJ
282,abduce,NN
283,abduced,VBN
284,abducens,NNS
285,abducent,NN
286,abducentes,NNS
287,abduces,NNS
288,abducing,VBG
289,abduct,NN
290,abducted,VBN
291,abducting,VBG
292,abduction,NN
293,abductions,NNS
294,abductor,NN
295,abductores,NNS
296,abductors,NNS
297,abducts,NNS
298,abe,NN
299,abeam,NN
300,abear,NN
301,abearance,NN
302,abecedaire,NN
303,abecedary,JJ
304,abecedaria,NNS
305,abecedarian,JJ
306,abecedarians,NNS
307,abecedaries,NNS
308,abecedarium,NN
309,abecedarius,NN
310,abed,NNS
311,abede,NN
312,abedge,NN
313,abegge,NN
314,abey,NN
315,abeyance,NN
316,abeyances,NNS
317,abeyancy,NN
318,abeyancies,NNS
319,abeyant,NN
320,abeigh,NN
321,abel,NN
322,abele,NN
323,abeles,NNS
324,abelia,NNS
325,abelian,JJ
326,abelicea,NN
327,abelite,NN
328,abelmoschus,RB
329,abelmosk,NN
330,abelmosks,NNS
331,abelmusk,NN
332,abelonian,JJ
333,abeltree,NN
334,abencerrages,NNS
335,abend,NN
336,abends,NNS
337,abenteric,NN
338,abepithymia,NN
339,aberdavine,NN
340,aberdeen,NN
341,aberdevine,NN
342,aberdonian,JJ
343,aberduvine,NN
344,aberia,NNS
345,abernethy,NN
346,aberr,NN
347,aberrance,NN
348,aberrancy,NN
349,aberrancies,NNS
350,aberrant,NN
351,aberrantly,RB
352,aberrants,NNS
353,aberrate,NN
354,aberrated,VBN
355,aberrating,VBG
356,aberration,NN
357,aberrational,JJ
358,aberrations,NNS
359,aberrative,JJ
360,aberrator,NN
361,aberrometer,NN
362,aberroscope,NN
363,aberuncate,NN
364,aberuncator,NN
365,abesse,NN
366,abessive,JJ
367,abet,NN
368,abetment,NN
369,abetments,NNS
370,abets,NNS
371,abettal,NN
372,abettals,NNS
373,abetted,VBN
374,abetter,NN
375,abetters,NNS
376,abetting,VBG
377,abettor,NN
378,abettors,NNS
379,abevacuation,NN
380,abfarad,NN
381,abfarads,NNS
382,abhenry,NN
383,abhenries,NNS
384,abhenrys,NN
385,abhinaya,NN
386,abhiseka,NN
387,abhominable,JJ
388,abhor,NN
389,abhorred,VBN
390,abhorrence,NN
391,abhorrences,NNS
392,abhorrency,NN
393,abhorrent,NN
394,abhorrently,RB
395,abhorrer,NN
396,abhorrers,NNS
397,abhorrible,JJ
398,abhorring,VBG
399,abhors,NNS
400,abhorson,NN
401,aby,NN
402,abib,NN
403,abichite,NN
404,abidal,NN
405,abidance,NN
406,abidances,NNS
407,abidden,NN
408,abide,NN
409,abided,VBD
410,abider,NN
411,abiders,NNS
412,abides,NNS
413,abidi,NN
414,abiding,VBG
415,abidingly,RB
416,abidingness,NN
417,abie,NN
418,abye,NN
419,abiegh,NN
420,abience,NN
421,abient,NN
422,abies,NNS
423,abyes,NNS
424,abietate,NN
425,abietene,NN
426,abietic,JJ
427,abietin,NN
428,abietineae,NN
429,abietineous,JJ
430,abietinic,NN
431,abietite,NN
432,abiezer,NN
433,abigail,NN
434,abigails,NNS
435,abigailship,NN
436,abigeat,NN
437,abigei,NN
438,abigeus,NN
439,abying,VBG
440,abilao,NN
441,abilene,NN
442,abiliment,NN
443,abilitable,JJ
444,ability,NN
445,abilities,NNS
446,abilla,NN
447,abilo,NN
448,abime,NN
449,abintestate,NN
450,abiogeneses,NNS
451,abiogenesis,NN
452,abiogenesist,NN
453,abiogenetic,JJ
454,abiogenetical,JJ
455,abiogenetically,RB
456,abiogeny,NN
457,abiogenist,NN
458,abiogenous,JJ
459,abiology,NN
460,abiological,JJ
461,abiologically,RB
462,abioses,NNS
463,abiosis,NN
464,abiotic,JJ
465,abiotical,JJ
466,abiotically,RB
467,abiotrophy,NN
468,abiotrophic,JJ
469,abipon,NN
470,abir,NN
471,abirritant,NN
472,abirritate,NN
473,abirritated,VBN
474,abirritating,VBG
475,abirritation,NN
476,abirritative,JJ
477,abys,NN
478,abysm,NN
479,abysmal,NN
480,abysmally,RB
481,abysms,NNS
482,abyss,NN
483,abyssa,NN
484,abyssal,NN
485,abysses,NNS
486,abyssinia,NN
487,abyssinian,JJ
488,abyssinians,NNS
489,abyssobenthonic,NN
490,abyssolith,NN
491,abyssopelagic,NN
492,abyssus,NN
493,abiston,NN
494,abit,NN
495,abitibi,NN
496,abiuret,NN
497,abject,NN
498,abjectedness,NN
499,abjection,NN
500,abjections,NNS
501,abjective,JJ
502,abjectly,RB
503,abjectness,NN
504,abjoint,NN
505,abjudge,NN
506,abjudged,VBN
507,abjudging,VBG
508,abjudicate,NN
509,abjudicated,VBN
510,abjudicating,VBG
511,abjudication,NN
512,abjudicator,NN
513,abjugate,NN
514,abjunct,NN
515,abjunction,NN
516,abjunctive,JJ
517,abjuration,NN
518,abjurations,NNS
519,abjuratory,NN
520,abjure,NN
521,abjured,VBN
522,abjurement,NN
523,abjurer,NN
524,abjurers,NNS
525,abjures,NNS
526,abjuring,VBG
527,abkar,NN
528,abkari,NN
529,abkary,JJ
530,abkhas,NN
531,abkhasian,JJ
532,abl,NN
533,ablach,NN
534,ablactate,NN
535,ablactated,VBN
536,ablactating,VBG
537,ablactation,NN
538,ablaqueate,NN
539,ablare,NN
540,ablastemic,JJ
541,ablastin,NN
542,ablastous,JJ
543,ablate,NN
544,ablated,VBN
545,ablates,NNS
546,ablating,VBG
547,ablation,NN
548,ablations,NNS
549,ablatitious,JJ
550,ablatival,NN
551,ablative,JJ
552,ablatively,RB
553,ablatives,NNS
554,ablator,NN
555,ablaut,NN
556,ablauts,NNS
557,ablaze,NN
558,able,JJ
559,ableeze,NN
560,ablegate,NN
561,ablegates,NNS
562,ablegation,NN
563,ablend,NN
564,ableness,NN
565,ablepharia,NNS
566,ablepharon,NN
567,ablepharous,JJ
568,ablepharus,NN
569,ablepsy,NN
570,ablepsia,NN
571,ableptical,JJ
572,ableptically,RB
573,abler,NN
574,ables,NNS
575,ablesse,NN
576,ablest,NN
577,ablet,NN
578,ablewhackets,NNS
579,ably,RB
580,ablings,NNS
581,ablins,NNS
582,ablock,NN
583,abloom,NN
584,ablow,NN
585,ablude,NN
586,abluent,NN
587,abluents,NNS
588,ablush,NN
589,ablute,NN
590,abluted,VBN
591,ablution,NN
592,ablutionary,JJ
593,ablutions,NNS
594,abluvion,NN
595,abmho,NN
596,abmhos,NN
597,abmodality,NN
598,abmodalities,NNS
599,abn,NN
600,abnaki,NN
601,abnegate,NN
602,abnegated,VBN
603,abnegates,NNS
604,abnegating,VBG
605,abnegation,NN
606,abnegations,NNS
607,abnegative,JJ
608,abnegator,NN
609,abnegators,NNS
610,abner,NN
611,abnerval,NN
612,abnet,NN
613,abneural,JJ
614,abnormal,JJ
615,abnormalcy,NN
616,abnormalcies,NNS
617,abnormalise,NN
618,abnormalised,VBN
619,abnormalising,VBG
620,abnormalism,NN
621,abnormalist,NN
622,abnormality,NN
623,abnormalities,NNS
624,abnormalize,VB
625,abnormalized,VBN
626,abnormalizing,VBG
627,abnormally,RB
628,abnormalness,NN
629,abnormals,NNS
630,abnormity,NN
631,abnormities,NNS
632,abnormous,JJ
633,abnumerable,JJ
634,abo,NN
635,aboard,NN
636,aboardage,NN
637,abobra,NN
638,abococket,NN
639,abodah,NN
640,abode,NN
641,aboded,VBD
642,abodement,NN
643,abodes,NNS
644,abody,NN
645,aboding,VBG
646,abogado,NN
647,abogados,NN
648,abohm,NN
649,abohms,NN
650,aboideau,NN
651,aboideaus,NN
652,aboideaux,NN
653,aboil,NN
654,aboiteau,NN
655,aboiteaus,NN
656,aboiteaux,NN
657,abolete,NN
658,abolish,NN
659,abolishable,JJ
660,abolished,VBN
661,abolisher,NN
662,abolishers,NNS
663,abolishes,NNS
664,abolishing,VBG
665,abolishment,NN
666,abolishments,NNS
667,abolition,NN
668,abolitionary,JJ
669,abolitionise,NN
670,abolitionised,VBN
671,abolitionising,VBG
672,abolitionism,NN
673,abolitionist,NN
674,abolitionists,NNS
675,abolitionize,VB
676,abolitionized,VBN
677,abolitionizing,VBG
678,abolla,NN
679,abollae,NN
680,aboma,NN
681,abomas,NN
682,abomasa,NN
683,abomasal,NN
684,abomasi,NN
685,abomasum,NN
686,abomasus,NN
687,abomasusi,NN
688,abominability,NN
689,abominable,JJ
690,abominableness,NN
691,abominably,RB
692,abominate,NN
693,abominated,VBN
694,abominates,NNS
695,abominating,VBG
696,abomination,NN
697,abominations,NNS
698,abominator,NN
699,abominators,NNS
700,abomine,NN
701,abondance,NN
702,abongo,NN
703,abonne,NN
704,abonnement,NN
705,aboon,NN
706,aborad,NN
707,aboral,JJ
708,aborally,RB
709,abord,NN
710,aboriginal,JJ
711,aboriginality,NN
712,aboriginally,RB
713,aboriginals,NNS
714,aboriginary,JJ
715,aborigine,NN
716,aborigines,NNS
717,aborning,VBG
718,aborsement,NN
719,aborsive,JJ
720,abort,NN
721,aborted,JJ
722,aborter,NN
723,aborters,NNS
724,aborticide,NN
725,abortient,NN
726,abortifacient,NN
727,abortin,NN
728,aborting,VBG
729,abortion,NN
730,abortional,JJ
731,abortionist,NN
732,abortionists,NNS
733,abortions,NNS
734,abortive,JJ
735,abortively,RB
736,abortiveness,NN
737,abortogenic,NN
738,aborts,NNS
739,abortus,NN
740,abortuses,NNS
741,abos,NNS
742,abote,NN
743,abouchement,NN
744,aboudikro,NN
745,abought,NN
746,aboulia,NNS
747,aboulias,NNS
748,aboulic,NN
749,abound,NN
750,abounded,VBD
751,abounder,NN
752,abounding,VBG
753,aboundingly,RB
754,abounds,NNS
755,about,IN
756,abouts,NNS
757,above,IN
758,aboveboard,NN
759,abovedeck,NN
760,aboveground,NN
761,abovementioned,VBN
762,aboveproof,NN
763,aboves,NNS
764,abovesaid,NN
765,abovestairs,NNS
766,abow,NN
767,abox,NN
768,abp,NN
769,abr,NN
770,abracadabra,NN
771,abrachia,NN
772,abrachias,NNS
773,abradable,JJ
774,abradant,NN
775,abradants,NNS
776,abrade,NN
777,abraded,VBD
778,abrader,NN
779,abraders,NNS
780,abrades,NNS
781,abrading,VBG
782,abraham,NN
783,abrahamic,JJ
784,abrahamidae,NN
785,abrahamite,NN
786,abrahamitic,JJ
787,abray,NN
788,abraid,NN
789,abram,NN
790,abramis,NN
791,abranchial,JJ
792,abranchialism,NN
793,abranchian,JJ
794,abranchiata,NNS
795,abranchiate,NN
796,abranchious,JJ
797,abrasax,NN
798,abrase,NN
799,abrased,VBN
800,abraser,NN
801,abrash,NN
802,abrasing,VBG
803,abrasiometer,NN
804,abrasion,NN
805,abrasions,NNS
806,abrasive,JJ
807,abrasively,RB
808,abrasiveness,NN
809,abrasives,NNS
810,abrastol,NN
811,abraum,NN
812,abraxas,NN
813,abrazite,NN
814,abrazitic,JJ
815,abrazo,NN
816,abrazos,NN
817,abreact,NN
818,abreacted,VBN
819,abreacting,VBG
820,abreaction,NN
821,abreactions,NNS
822,abreacts,NNS
823,abreast,NN
824,abreed,NN
825,abrege,NN
826,abreid,NN
827,abrenounce,NN
828,abrenunciate,NN
829,abrenunciation,NN
830,abreption,NN
831,abret,NN
832,abreuvoir,NN
833,abri,NN
834,abrico,NN
835,abricock,NN
836,abricot,NN
837,abridgable,JJ
838,abridge,NN
839,abridgeable,JJ
840,abridged,VBN
841,abridgedly,RB
842,abridgement,NN
843,abridgements,NNS
844,abridger,NN
845,abridgers,NNS
846,abridges,NNS
847,abridging,VBG
848,abridgment,NN
849,abridgments,NNS
850,abrim,NN
851,abrin,NN
852,abrine,NN
853,abris,NN
854,abristle,NN
855,abroach,NN
856,abroad,RB
857,abrocoma,NN
858,abrocome,NN
859,abrogable,JJ
860,abrogate,NN
861,abrogated,VBN
862,abrogates,NNS
863,abrogating,VBG
864,abrogation,NN
865,abrogations,NNS
866,abrogative,JJ
867,abrogator,NN
868,abrogators,NNS
869,abroma,NN
870,abronia,NN
871,abrood,NN
872,abrook,NN
873,abrosia,NN
874,abrosias,NNS
875,abrotanum,NN
876,abrotin,NN
877,abrotine,NN
878,abrupt,NN
879,abruptedly,RB
880,abrupter,NN
881,abruptest,NN
882,abruptio,NN
883,abruption,NN
884,abruptiones,NNS
885,abruptly,RB
886,abruptness,NN
887,abrus,NN
888,abs,NNS
889,absalom,NN
890,absampere,RB
891,absaroka,NN
892,absarokite,NN
893,abscam,NN
894,abscess,NN
895,abscessed,VBN
896,abscesses,NNS
897,abscessing,VBG
898,abscession,NN
899,abscessroot,NN
